seq,time,deprecated_logid,logname,log_detail_code,actor_code,actor_account_id,actor_world,actor_id,actor_name,actor_level,actor_born,actor_class,actor_party,actor_guild,actor_map_id,actor_map_oid,actor_zone_id,actor_location,actor_num1,actor_num2,actor_num3,actor_str1,actor_str2,actor_str3,entity_code,entity_id,entity_dbid,entity_grade,entity_lv,entity_option,entity_str1,entity_str2,old_num1,old_num2,old_str1,use_num1,use_num2,new_num1,new_num2,new_str1,data_num1,data_num2,data_num3,data_num4,data_num5,data_str1,data_str2,data_str3,target_code,target_account_id,target_world,target_id,target_name,target_level,target_born,target_class,target_party,target_guild,target_map_id,target_map_oid,target_zone_id,target_location,target_num1,target_num2,target_num3,target_str1,target_str2,target_str3,plogid,plogdate
190359666,2020-10-18 00:40:32.278,1211,PCDie,0,10,25443531,133,37436171902553180,Resuwen,59,5,36301,0,37436171902617266,6005,6005,1105,15221/13092/377,30000,2,3,Normal,하모니,2D4F6487-5354-44DE-8E7F-200680E79171,0,0,0,0,0,,,,0,0,,170593661,0,2939028437,900,,0,0,0,0,0,,,8_100640003/7_210140003/6_200250002/6_200650003/4_200540004/5_200750004/6_210340009/4_200440003/4_200850004/0_310140006/3_320200004/3_320200003/3_300360008/2_300350003/0_310550001/2_320500001/2_300450002,10,212372,137,38562071809390481,화군악,60,1,34291,0,38562071809460428,6005,6005,1105,14829/11560/430,0,0,1131,,태극문,9C6C5465-E48F-4832-8BC4-F0439AAAB5BE,1211,20201018
190523822,2020-10-18 00:46:26.667,1211,PCDie,0,10,24712047,133,37436171902533080,킴크롱,64,4,48401,0,37436171902617280,1101,1101,881,46164/15474/-30,30000,2,3,Normal,클라우드,E0B67A86-651C-45C7-A213-6E0D509B98A9,0,0,0,0,0,,,,0,0,,1947202302,0,24560151210,1489,,0,0,0,0,0,,,6_100740001/4_200140001/4_200240001/4_200640001/6_200540003/5_210700001/6_200340001/4_200440006/4_200840002/3_300140005/5_320200003/6_320200004/2_300340006/3_300360007/5_320600001/4_320500005/4_320500004/4_300440003/5_320600002/3_310840001,30,201005,0,16634,M_TOIF01_RoamingGhost_Archer_001_001,86,0,0,0,0,1101,1101,881,45601/15330/-30,0,0,1131,,,,1211,20201018
190666533,2020-10-18 00:51:22.077,1211,PCDie,0,10,572269,133,37436171902534928,판사,65,5,46801,411217348834608,37436171902617271,6005,6005,1105,7108/-7934/831,28815,1,3,Normal,엔젤,EBE09A66-89AD-49C9-AEA9-42B7C9D6EC8B,0,0,0,0,0,,,,0,0,,1947202302,-4,20780515487,1487,,0,0,0,0,0,,,8_100630005/5_200130002/5_200230003/5_200630005/7_200530007/6_210700003/5_200330004/5_200430012/5_200840002/0_300130007/5_320200007/5_320200006/3_300330008/0_300330009/4_320600001/4_320500003/5_320500001/5_300440001/5_320600002/2_310840003,10,14081375,140,39406496739499513,민트,62,2,44601,544258255757737,39406496739591889,6005,6005,1105,8119/-9011/807,0,0,1131,,독종,A55B7665-5846-4E8D-BABF-E0402ACEC87D,1211,20201018
190699154,2020-10-18 00:52:26.888,1211,PCDie,0,10,24503574,133,37436171902530557,로베,67,5,51101,442003674467591,37436171902617271,6005,6005,1105,3407/-2662/1558,15000,1,3,Normal,엔젤,1733D5CD-E3B7-48BA-950C-ED61DD941BCB,0,0,0,0,0,,,,0,0,,1947202302,0,2535030596,1496,,0,0,0,0,0,,,7_100120001/7_200130007/5_200630005/7_200530005/6_210700001/5_200330005/5_200420001/3_200830003/3_300140005/7_320200004/6_320200003/3_300330007/4_300330008/5_320600001/7_320500001/5_320500003/5_300430003/6_320600002/2_310840001,10,14464995,134,37999121855944004,통닭,66,2,43901,489282674401473,37717646879328489,6005,6005,1105,3341/-2780/1560,0,0,1131,,해적,8408B74B-9814-47B6-8BE7-22C8F7CC9641,1211,20201018
190908485,2020-10-18 00:59:28.129,1211,PCDie,0,10,24503574,133,37436171902530557,로베,67,5,51101,442003674467591,37436171902617271,0,0,1105,3969/1058/65,15000,1,3,Normal,엔젤,1733D5CD-E3B7-48BA-950C-ED61DD941BCB,0,0,0,0,0,,,,0,0,,1947202302,0,2535041544,1516,,0,0,0,0,0,,,7_100120001/7_200130007/5_200230003/5_200630005/7_200530005/6_210700001/5_200330005/5_200420001/3_200830003/3_300140005/7_320200004/6_320200003/3_300330007/4_300330008/5_320600001/7_320500001/5_320500003/5_300430003/6_320600002/2_310840001,10,1139583,131,37999121855945567,치카,66,2,59001,484884627919344,36873221949195959,6005,6005,1105,14839/-12158/894,0,0,1131,,연예인,126BB0DA-A393-4A56-A509-2F6389247FF8,1211,20201018
191867812,2020-10-18 01:39:05.237,1211,PCDie,0,10,8611269,133,37436171902528058,적대,64,4,43701,536561674391667,0,1101,1101,881,-8097/32612/2,30000,2,3,Normal,,1FE59D2B-0879-4FCA-92D8-9DD504623720,0,0,0,0,0,,,,0,0,,1298134868,0,16298672143,1559,,0,0,0,0,0,,,7_100330003/7_200130007/5_200230001/7_200650003/5_200530004/6_210700001/4_210330005/5_200430012/5_200840005/3_300140006/6_320200004/5_320200006/4_300330008/5_300350004/5_320600002/5_320500001/4_320500003/5_300440003/4_320600001/2_310840001,30,201011,0,18315,M_TOIF01_GreedyDemon_001_001,88,0,0,0,0,1101,1101,881,-8187/32492/2,0,0,1131,,,,1211,20201018
194491715,2020-10-18 03:19:14.426,1211,PCDie,0,10,24870463,133,37436171902534611,Ares,66,5,41601,663005511565043,37436171902617271,6002,6002,1102,2270/7429/1136,30000,1,3,Normal,엔젤,9336345C-44FB-4170-BEF9-55574102132E,0,0,0,0,0,,,,0,0,,1947202302,0,6703351966,1519,,0,0,0,0,0,,,8_100120002/5_200130001/5_200230003/5_200630005/5_200530010/6_210700001/5_200330014/7_200430005/5_200840002/5_300140005/6_320200003/7_320200004/5_300330008/7_300340010/5_320600001/5_320500001/5_320500003/5_300430001/5_320600002,10,24700655,139,38280596832664605,지옥대장군,69,2,52101,0,39125021762881725,6002,6002,1102,2588/7709/1191,0,0,1131,,군대,8265CD89-CE9C-4625-A796-B48C767EBB8C,1211,20201018
194552842,2020-10-18 03:21:11.779,1211,PCDie,0,10,572269,133,37436171902534928,판사,65,5,46801,663005511565043,37436171902617271,6002,6002,1102,-7693/-2432/1189,15015,1,3,Normal,엔젤,EBE09A66-89AD-49C9-AEA9-42B7C9D6EC8B,0,0,0,0,0,,,,0,0,,1947202302,0,21077750932,1487,,0,0,0,0,0,,,8_100630005/5_200130002/5_200230003/5_200630005/7_200530007/6_210700003/5_200330004/5_200430012/5_200840002/0_300130007/5_320200007/5_320200006/3_300340005/0_300330009/4_320600001/4_320500003/5_320500001/5_300440001/5_320600002/2_310840003,10,3041971,134,38562071809363949,크앙,66,3,53102,558551906951202,37717646879328489,6002,6002,1102,-7887/-2304/1190,0,0,1131,,해적,920B6E40-0D04-491E-9A33-B877BA838678,1211,20201018
194742457,2020-10-18 03:27:14.887,1211,PCDie,0,10,24503574,133,37436171902530557,로베,67,5,51101,663005511565043,37436171902617271,6002,6002,1102,-3388/1067/1251,30000,1,3,Normal,엔젤,1733D5CD-E3B7-48BA-950C-ED61DD941BCB,0,0,0,0,0,,,,0,0,,1947202302,0,3137907472,1537,,0,0,0,0,0,,,7_100120001/7_200130007/5_200230001/5_200630006/7_200530005/6_210700001/5_200330005/5_200420001/3_200830003/3_300140005/7_320200004/6_320200003/3_300330007/4_300330008/5_320600001/7_320500001/5_320500003/5_300430003/6_320600002/2_310840001,10,24553615,134,38562071809374260,Kaiser,66,3,54101,527765581422360,37717646879328489,6002,6002,1102,-4216/648/1111,0,0,1131,,해적,7C50BE1B-F5CC-44F5-AB06-7AA4C2FFB9FE,1211,20201018
194788144,2020-10-18 03:28:39.579,1211,PCDie,0,10,24503574,133,37436171902530557,로베,67,5,51101,663005511565043,37436171902617271,6002,6002,1102,-3622/1063/1238,30000,1,3,Normal,엔젤,1733D5CD-E3B7-48BA-950C-ED61DD941BCB,0,0,0,0,0,,,,0,0,,1947202302,0,3137907472,1537,,0,0,0,0,0,,,9_100240005/7_200130007/5_200230001/5_200630006/7_200530005/6_210700001/5_200330005/5_200420001/3_200830003/3_300140005/7_320200004/6_320200003/3_300330007/4_300330008/5_320600001/7_320500001/5_320500003/5_300430003/6_320600002/2_310840001,10,24553615,134,38562071809374260,Kaiser,66,3,54101,527765581422360,37717646879328489,6002,6002,1102,-4959/54/1045,0,0,1131,,해적,7C50BE1B-F5CC-44F5-AB06-7AA4C2FFB9FE,1211,20201018
